Player,Fgm
LeBron James,17
Vince Carter,16
Ray Allen,15
Kobe Bryant,14
Carmelo Anthony,13
Allen Iverson,13
Ben Gordon,12
Dirk Nowitzki,12
Joe Johnson,12
Paul Pierce,11
Dwyane Wade,11
Jamal Crawford,11
Rashard Lewis,10
Ricky Davis,10
Antawn Jamison,9
Pau Gasol,9
Steve Francis,9
Tim Duncan,9
Gilbert Arenas,9
Michael Redd,9
Tracy McGrady,9
Kevin Garnett,9
Hedo Turkoglu,8
Derek Fisher,8
Chris Paul,8
Mike Bibby,8
Richard Hamilton,8
Andre Iguodala,8
Jason Terry,8
Mehmet Okur,7
Zach Randolph,7
Brandon Roy,7
Baron Davis,7
Raymond Felton,7
Travis Outlaw,6
Carlos Boozer,6
Jalen Rose,6
Josh Smith,6
Grant Hill,6
Damon Jones,6
Caron Butler,6
Damon Stoudamire,6
Kevin Martin,6
David West,6
Tyronn Lue,6
Shawn Marion,6
Tony Parker,6
Tayshaun Prince,6
